Site,County,Plot,Type,Treatment,Infection,Year,Species
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,1,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PEMA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,1,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PECA
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,NEFU
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PECA
Filoli,San Mateo,FLV,Control,Control,0,2023,PECA
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PECA
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
