Site,County,Plot,Treatment,Infection,Year
Filoli,San Mateo ,FLA,Permethri,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,1,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Filoli,San Mateo ,FLV,Control,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWA,Deltamethrin,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
